0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2025,-,-,69.4,63.6,65.5,67.3,-2.8,-4.1,-,-,-,-,-,-,-,-
2023,"1,467",52,47.25,39.75,45.75,44.2,+5.75,+14.4,3.24,14.6,12.3,13.6,48.64,0.97,0.82,0.91
2022,"1,467",57,68.4,36.25,40,51,-22.5,-36,2.58,26.5,14.1,19.8,36.96,1.85,0.98,1.38
2021,"1,317",67,63.5,39.9,62.5,53.4,+20.25,+47.9,10.34,6.14,3.86,5.16,61.35,1.04,0.65,0.87
2020,"1,317",57,43.15,33.8,42.25,39.8,-0.3,-0.7,5.41,7.98,6.25,7.37,60.74,0.71,0.56,0.66
2019,"1,317",57,47.25,38.85,42.55,42.5,-4.45,-9.5,4.76,9.93,8.16,8.92,52.49,0.9,0.74,0.81
2018,"1,256",52,56.8,45.9,47,52.2,-6.5,-12.1,3.95,14.4,11.6,13.2,36.87,1.54,1.24,1.42
2017,"1,256",48,56.2,46.05,53.5,49.4,+5.3,+11,4.47,12.6,10.3,11,44.72,1.26,1.03,1.1
2016,"1,256",48,50.5,33.6,48.2,39.2,+1.9,+4.1,3.79,13.3,8.87,10.3,39.06,1.29,0.86,1
2015,"1,256",57,56.5,38.6,46.3,48.5,-0.65,-1.4,4.58,12.3,8.43,10.6,36.22,1.56,1.07,1.34
2014,"1,256",62,54.1,42.1,46.95,47.3,-1.3,-2.7,3.93,13.8,10.7,12,34.44,1.57,1.22,1.37
2013,"1,196",57,48.85,31.15,48.25,41,+16.75,+53.2,3.28,14.9,9.49,12.5,23.49,2.08,1.33,1.75
2012,"1,087",52,37,27.8,31.5,31,-1.2,-3.7,1.52,24.4,18.3,20.4,22.96,1.61,1.21,1.35
2011,"1,036",52,55.4,28,32.7,41.6,-19,-36.8,1.1,50.4,25.5,37.8,21.03,2.63,1.33,1.98
2010,"1,015",52,61.2,42.75,51.7,50,-8,-13.4,0.42,147,102,120,21.52,2.84,1.99,2.32
2009,967,52,62.4,24,59.7,46.3,+23.2,+63.6,1.12,55.7,21.4,41.3,21.94,2.84,1.09,2.11
2008,974,52,87.6,28.1,36.5,61.8,-31.1,-46,0.2,438,141,309,14.72,5.95,1.91,4.2
2007,928,62,94.3,63.5,67.6,74.3,-6.4,-8.6,3.34,28.2,19,22.3,24.6,3.83,2.58,3.02
2006,921,52,78.5,57.1,74,66.4,+14.5,+24.4,1.19,66,48,55.8,23.65,3.32,2.41,2.81
2005,852,57,65,55.5,59.5,60.8,-5.5,-8.5,2.57,25.3,21.6,23.7,22.02,2.95,2.52,2.76
2004,832,57,68.5,51,65,60.6,+14,+27.5,3.7,18.5,13.8,16.4,21.1,3.25,2.42,2.87
2003,831,61,58.5,36.3,51,43.9,+14.1,+38.2,2.69,21.7,13.5,16.3,17.07,3.43,2.13,2.57
2002,845,57,58.5,34.5,36.9,45.1,-20.1,-35.3,7.66,7.63,4.5,5.89,13.11,4.46,2.63,3.44
2001,584,65,71.5,29,57,46.6,-1,-1.7,0.03,2190,888,1427,12.81,5.58,2.26,3.64
2000,-,-,97,47,58,73.2,-17.5,-23.2,-,-,-,-,-,-,-,-
1999,-,-,128.5,71,75.5,98.4,-28.5,-27.4,-,-,-,-,-,-,-,-
1998,-,-,147.5,90,104,118,-41,-28.3,-,-,-,-,-,-,-,-
1997,-,-,190,112,145,152,-30,-17.1,-,-,-,-,-,-,-,-
1996,-,-,200,112,175,160,+49.5,+39.4,-,-,-,-,-,-,-,-
1995,-,-,203,107,125.5,140,-76.5,-37.9,-,-,-,-,-,-,-,-
1994,-,-,288,184,202,227,-40,-16.5,-,-,-,-,-,-,-,-
1993,-,-,249,100.5,242,157,+132.5,+121,-,-,-,-,-,-,-,-
1992,-,-,266,106,109.5,173,-112.5,-50.7,-,-,-,-,-,-,-,-
1991,-,-,487,207,222,333,-113,-33.7,-,-,-,-,-,-,-,-
