0,1,2,3,4,5,6,7
2025,-,-,-,-,-,-,-
2024,2,0,2,0,0,0,2
2023,0,0.9,0.9,0,0,0,0.9
2022,3.5,0,3.5,0,0,0,3.5
2021,2.5,0,2.5,0,0,0,2.5
2020,2,0,2,0,0,0,2
2019,1.2,0.3,1.5,0,0,0,1.5
2018,2.5,0,2.5,0,0,0,2.5
2017,2,0,2,0,0,0,2
2016,2,0,2,0,0,0,2
2015,2,0,2,0,0,0,2
2014,1.5,0,1.5,0.5,0,0.5,2
2013,0.7,0,0.7,0.678,0,0.678,1.378
2012,0.5,0,0.5,0.5,0,0.5,1
2011,0.6,0,0.6,0.2,0,0.2,0.8
2010,0.5,0,0.5,0.5,0,0.5,1
2009,0,0,0,0,0,0,0
2008,2.5,0,2.5,0.5,0,0.5,3
2007,1.5,0,1.5,0,0,0,1.5
2006,1.493,0,1.493,0.497,0,0.497,1.991
2005,2.5,0,2.5,0,0,0,2.5
2004,2,0,2,0,0,0,2
2003,1.5,0,1.5,0,0,0,1.5
2002,1.5,0,1.5,0,0,0,1.5
2001,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-
1998,-,-,-,-,-,-,-
1997,-,-,-,-,-,-,-
1996,-,-,-,-,-,-,-
1995,-,-,-,-,-,-,-
1994,-,-,-,-,-,-,-
1993,-,-,-,-,-,-,-
1992,-,-,-,-,-,-,-
1991,-,-,-,-,-,-,-
